txn_id,txn_ts,amount,card_id,merchant_id,device_id,channel,country,auth_result,is_fraud
tx_2024-07_0,2024-07-06 16:36:55,434.72,c_000167,m_00531,d_002004,MOBILE,US,APPROVED,0
tx_2024-07_1,2024-07-12 11:01:04,29.52,c_004998,m_01371,d_000082,WEB,IN,APPROVED,0
tx_2024-07_2,2024-07-19 14:36:44,3.39,c_000896,m_00056,d_003305,WEB,US,,0
tx_2024-07_3,2024-07-22 02:09:46,21.88,c_006648,m_00824,d_000132,API,GB,,0
tx_2024-07_4,2024-07-15 05:41:46,48.78,c_004829,m_01921,d_003616,WEB,GB,,0
tx_2024-07_5,2024-07-20 16:29:29,27.97,c_002502,m_00322,d_002486,WEB,IN,,0
tx_2024-07_6,2024-07-17 14:58:29,36.13,c_004429,m_01645,d_004611,MOBILE,IN,,0
tx_2024-07_7,2024-07-12 11:12:21,24.47,c_003205,m_00282,d_002006,MOBILE,GB,APPROVED,1
tx_2024-07_8,2024-07-10 16:34:09,98.06,c_004425,m_00870,d_003313,WEB,US,APPROVED,0
tx_2024-07_9,2024-07-19 11:39:15,64.11,c_001387,m_01200,d_002160,MOBILE,,APPROVED,0
tx_2024-07_10,2024-07-08 02:07:16,19.05,c_007393,m_01240,d_002624,API,GB,APPROVED,0
tx_2024-07_11,2024-07-04 10:44:01,34.89,c_006104,m_00858,d_000231,MOBILE,US,APPROVED,0
tx_2024-07_12,2024-07-02 15:17:33,13.17,c_001119,m_00852,d_002125,WEB,,APPROVED,0
tx_2024-07_13,2024-07-17 01:03:13,19.59,c_002993,m_00271,d_002475,API,GB,DECLINED,0
tx_2024-07_14,2024-07-17 06:27:19,61.61,c_005972,m_01643,d_003032,WEB,IN,DECLINED,0
tx_2024-07_15,2024-07-22 01:49:32,17.16,c_003777,m_01301,d_002963,WEB,,,0
tx_2024-07_16,2024-07-07 03:11:05,22.92,c_001273,m_00126,d_002284,WEB,IN,,0
tx_2024-07_17,2024-07-14 21:37:56,12.12,c_003088,m_01715,d_003183,API,GB,,0
tx_2024-07_18,2024-07-25 05:33:28,27.7,c_000457,m_00527,d_003516,WEB,,DECLINED,0
tx_2024-07_19,2024-07-14 16:23:17,4.07,c_001934,m_01097,d_000013,API,GB,,0
tx_2024-07_20,2024-07-09 01:49:19,17.04,c_000010,m_00524,d_004764,API,GB,APPROVED,0
tx_2024-07_21,2024-07-07 00:08:02,129.78,c_000259,m_00114,d_002495,MOBILE,,,1
tx_2024-07_22,2024-07-07 07:04:24,1198.52,c_004538,m_00147,d_000048,MOBILE,US,DECLINED,0
tx_2024-07_23,2024-07-28 17:45:13,29.28,c_006121,m_00027,d_004346,WEB,US,DECLINED,0
tx_2024-07_24,2024-07-05 04:10:13,51.77,c_003942,m_01280,d_000917,WEB,,DECLINED,0
tx_2024-07_25,2024-07-25 02:26:51,57.52,c_006384,m_00364,d_004289,API,,,0
tx_2024-07_26,2024-07-26 19:07:04,49.13,c_002135,m_00479,d_000798,WEB,GB,APPROVED,0
tx_2024-07_27,2024-07-03 00:08:41,18.53,c_002324,m_01700,d_002049,WEB,IN,DECLINED,0
tx_2024-07_28,2024-07-28 01:38:41,52.93,c_001846,m_01924,d_004658,API,IN,APPROVED,0
tx_2024-07_29,2024-07-09 05:32:28,19.48,c_001608,m_00068,d_004059,API,GB,DECLINED,0
tx_2024-07_30,2024-07-18 09:08:28,14.02,c_003676,m_01590,d_004567,API,GB,APPROVED,0
tx_2024-07_31,2024-07-08 09:55:40,43.47,c_004020,m_01350,d_004588,API,,APPROVED,0
tx_2024-07_32,2024-07-20 02:50:33,10.32,c_001142,m_01781,d_003046,API,IN,APPROVED,0
tx_2024-07_33,2024-07-07 17:30:19,66.99,c_002828,m_00521,d_000129,WEB,,DECLINED,0
tx_2024-07_34,2024-07-01 05:37:11,92.46,c_002434,m_01491,d_004777,MOBILE,,DECLINED,0
tx_2024-07_35,2024-07-19 20:52:36,6.94,c_005363,m_00928,d_004720,WEB,IN,APPROVED,0
tx_2024-07_36,2024-07-24 05:55:41,83.39,c_000490,m_01601,d_000717,API,,APPROVED,0
tx_2024-07_37,2024-07-04 02:21:29,1.21,c_000578,m_01032,d_002807,API,IN,DECLINED,0
tx_2024-07_38,2024-07-08 04:30:24,35.24,c_000118,m_01563,d_003701,WEB,IN,APPROVED,0
tx_2024-07_39,2024-07-21 07:55:06,8.8,c_000383,m_00826,d_004456,WEB,US,APPROVED,1
tx_2024-07_40,2024-07-21 15:20:02,6.64,c_003307,m_00449,d_002539,MOBILE,GB,,0
tx_2024-07_41,2024-07-11 21:48:40,36.3,c_001612,m_00514,d_003299,MOBILE,GB,,0
tx_2024-07_42,2024-07-04 13:27:27,90.29,c_001357,m_00731,d_003714,WEB,IN,DECLINED,0
