txn_id,txn_ts,amount,card_id,merchant_id,device_id,channel,country,auth_result,is_fraud
tx_2024-09_0,2024-09-20 23:32:51,25.89,c_005270,m_01263,d_003215,API,GB,APPROVED,1
tx_2024-09_1,2024-09-03 23:28:51,221.52,c_003075,m_01268,d_003152,API,IN,DECLINED,0
tx_2024-09_2,2024-09-13 00:04:35,32.69,c_000997,m_01880,d_001177,WEB,US,APPROVED,0
tx_2024-09_3,2024-09-26 13:04:08,3.85,c_000392,m_01474,d_000732,MOBILE,GB,DECLINED,0
tx_2024-09_4,2024-09-06 02:57:14,44.25,c_004790,m_00021,d_003391,MOBILE,IN,APPROVED,0
tx_2024-09_5,2024-09-19 19:19:36,7.31,c_000576,m_00099,d_004374,WEB,GB,DECLINED,0
tx_2024-09_6,2024-09-21 14:33:20,101.0,c_007753,m_00943,d_000565,MOBILE,US,,0
tx_2024-09_7,2024-09-18 15:12:06,73.08,c_004243,m_01180,d_002534,WEB,IN,DECLINED,0
tx_2024-09_8,2024-09-28 18:39:18,14.7,c_005211,m_01844,d_002173,MOBILE,IN,,0
tx_2024-09_9,2024-09-23 11:07:14,3.82,c_003646,m_00510,d_000505,API,US,DECLINED,0
tx_2024-09_10,2024-09-09 13:29:22,126.86,c_006214,m_01253,d_004174,MOBILE,GB,DECLINED,0
tx_2024-09_11,2024-09-18 02:37:34,7.41,c_003876,m_01542,d_004916,API,,,0
tx_2024-09_12,2024-09-29 04:19:02,141.39,c_000317,m_01840,d_001576,API,IN,,0
tx_2024-09_13,2024-09-06 19:02:34,13.71,c_004472,m_01108,d_004579,API,US,,0
tx_2024-09_14,2024-09-19 20:02:59,25.95,c_005351,m_01907,d_004347,WEB,US,DECLINED,0
tx_2024-09_15,2024-09-15 22:20:05,15.91,c_002311,m_01728,d_003554,WEB,IN,DECLINED,0
tx_2024-09_16,2024-09-16 05:00:31,31.53,c_001221,m_00301,d_001192,WEB,IN,,0
tx_2024-09_17,2024-09-23 04:58:38,40.76,c_004055,m_00388,d_004804,MOBILE,US,DECLINED,0
tx_2024-09_18,2024-09-10 04:34:41,13.41,c_006947,m_00860,d_003958,WEB,IN,DECLINED,0
tx_2024-09_19,2024-09-08 16:11:08,6.83,c_006440,m_01587,d_003744,WEB,GB,DECLINED,0
tx_2024-09_20,2024-09-19 11:31:17,124.06,c_007737,m_01678,d_003169,API,,DECLINED,0
tx_2024-09_21,2024-09-09 01:34:37,72.65,c_007025,m_00329,d_000249,WEB,GB,APPROVED,0
tx_2024-09_22,2024-09-16 22:54:06,8.72,c_002935,m_00927,d_003128,WEB,IN,,0
tx_2024-09_23,2024-09-27 13:44:05,13.58,c_002284,m_01905,d_004918,WEB,IN,,0
tx_2024-09_24,2024-09-29 11:19:48,22.82,c_006899,m_01295,d_002640,API,GB,,0
tx_2024-09_25,2024-09-25 02:18:13,7.5,c_001686,m_01343,d_003730,WEB,IN,DECLINED,0
tx_2024-09_26,2024-09-08 01:44:28,10.15,c_001034,m_01555,d_001263,WEB,IN,APPROVED,0
tx_2024-09_27,2024-09-14 15:02:06,31.63,c_002630,m_01450,d_004424,API,,,0
tx_2024-09_28,2024-09-28 19:38:28,83.45,c_000493,m_01807,d_002350,API,,APPROVED,0
tx_2024-09_29,2024-09-30 08:13:19,5.53,c_001132,m_00544,d_004242,MOBILE,,DECLINED,0
tx_2024-09_30,2024-09-22 01:34:03,35.43,c_004776,m_00663,d_001064,API,,APPROVED,0
tx_2024-09_31,2024-09-20 20:14:32,22.34,c_005465,m_01575,d_004923,MOBILE,IN,APPROVED,0
tx_2024-09_32,2024-09-08 05:09:35,215.38,c_001980,m_00593,d_003383,WEB,US,,0
tx_2024-09_33,2024-09-18 01:48:32,34.47,c_004476,m_01730,d_004353,WEB,IN,,0
tx_2024-09_34,2024-09-18 16:28:35,14.41,c_001561,m_00584,d_003611,MOBILE,,,0
tx_2024-09_35,2024-09-04 05:24:59,23.35,c_000093,m_00839,d_002511,WEB,GB,APPROVED,0
tx_2024-09_36,2024-09-04 14:24:44,22.34,c_005944,m_01953,d_001088,MOBILE,GB,,0
tx_2024-09_37,2024-09-25 00:08:45,356.22,c_006818,m_00636,d_001887,API,IN,,0
tx_2024-09_38,2024-09-11 06:55:59,3.9,c_001686,m_01590,d_003262,WEB,GB,DECLINED,0
tx_2024-09_39,2024-09-24 09:31:49,40.0,c_005498,m_00844,d_002860,API,US,APPROVED,1
tx_2024-09_40,2024-09-24 04:04:25,16.91,c_006876,m_00275,d_002321,API,US,,0
tx_2024-09_41,2024-09-13 04:14:17,108.95,c_005561,m_01885,d_003844,WEB,,APPROVED,0
tx_2024-09_42,2024-09-06 15:58:56,54.35,c_007342,m_00293,d_001609,API,US,,0
tx_2024-09_43,2024-09-14 14:57:24,8.25,c_001569,m_00826,d_003741,API,,,0
tx_2024-09_44,2024-09-22 22:57:52,52.08,c_004496,m_00008,d_003865,WEB,US,DECLINED,0
tx_2024-09_45,2024-09-12 17:01:46,16.97,c_004353,m_00833,d_001444,WEB,,,0
tx_2024-09_46,2024-09-02 03:04:34,36.82,c_002498,m_00691,d_004704,WEB,,APPROVED,0
tx_2024-09_47,2024-09-01 05:36:11,28.27,c_000259,m_00644,d_002505,MOBILE,IN,APPROVED,0
tx_2024-09_48,2024-09-21 04:49:38,4.13,c_001039,m_01056,d_001153,MOBILE,IN,,0
tx_2024-09_49,2024-09-03 03:20:30,8.37,c_007270,m_01531,d_003674,WEB,,,0
tx_2024-09_50,2024-09-04 14:41:28,202.33,c_002637,m_00118,d_002610,API,US,,0
tx_2024-09_51,2024-09-17 02:36:41,97.76,c_007117,m_00351,d_000891,API,US,DECLINED,0
tx_2024-09_52,2024-09-22 13:08:28,58.41,c_002776,m_01183,d_002869,API,IN,DECLINED,0
tx_2024-09_53,2024-09-18 08:03:23,107.48,c_006497,m_01097,d_001244,API,US,DECLINED,0
tx_2024-09_54,2024-09-09 18:39:37,5.53,c_004893,m_01550,d_000293,MOBILE,GB,APPROVED,0
