txn_id,txn_ts,amount,card_id,merchant_id,device_id,channel,country,auth_result,is_fraud
tx_2024-08_0,2024-08-19 14:43:36,21.52,c_004261,m_01952,d_000858,WEB,IN,DECLINED,0
tx_2024-08_1,2024-08-23 12:34:04,20.36,c_003288,m_00218,d_000317,API,GB,APPROVED,0
tx_2024-08_2,2024-08-11 16:35:38,5.05,c_002632,m_01638,d_001476,WEB,IN,APPROVED,0
tx_2024-08_3,2024-08-14 01:17:18,33.66,c_002155,m_01123,d_000424,MOBILE,IN,APPROVED,0
tx_2024-08_4,2024-08-17 01:42:08,26.71,c_005557,m_01303,d_000613,WEB,IN,DECLINED,0
tx_2024-08_5,2024-08-01 02:03:37,3.67,c_002097,m_00430,d_004653,API,GB,DECLINED,0
tx_2024-08_6,2024-08-30 14:20:47,67.39,c_002217,m_00303,d_001842,WEB,,,0
tx_2024-08_7,2024-08-01 03:33:34,14.16,c_000648,m_01558,d_001333,WEB,GB,APPROVED,0
tx_2024-08_8,2024-08-28 23:46:46,99.76,c_005763,m_00066,d_001419,WEB,,DECLINED,0
tx_2024-08_9,2024-08-07 20:59:15,18.14,c_007810,m_00713,d_003950,MOBILE,US,APPROVED,0
tx_2024-08_10,2024-08-11 09:00:36,47.85,c_004812,m_00171,d_004281,WEB,GB,,0
tx_2024-08_11,2024-08-10 20:12:28,17.54,c_007359,m_00629,d_000909,MOBILE,US,DECLINED,0
tx_2024-08_12,2024-08-29 07:10:40,63.59,c_004361,m_00288,d_001920,API,,DECLINED,0
tx_2024-08_13,2024-08-10 10:09:18,9.47,c_002928,m_00045,d_004125,WEB,IN,APPROVED,0
tx_2024-08_14,2024-08-10 02:58:26,46.42,c_005334,m_01516,d_002127,API,,,0
tx_2024-08_15,2024-08-24 19:02:39,82.29,c_005911,m_01345,d_003590,WEB,US,,0
tx_2024-08_16,2024-08-05 08:18:11,62.73,c_006812,m_01147,d_002850,MOBILE,GB,,0
tx_2024-08_17,2024-08-25 14:37:00,3.74,c_005557,m_00153,d_002932,WEB,IN,APPROVED,0
tx_2024-08_18,2024-08-12 12:19:24,48.79,c_002604,m_01726,d_000227,MOBILE,IN,,1
tx_2024-08_19,2024-08-17 12:19:59,27.6,c_002348,m_01054,d_000559,WEB,,,1
tx_2024-08_20,2024-08-09 14:43:45,50.11,c_005031,m_00210,d_000436,MOBILE,,DECLINED,0
tx_2024-08_21,2024-08-02 01:44:45,33.76,c_004896,m_01167,d_003118,API,US,APPROVED,0
tx_2024-08_22,2024-08-05 07:02:26,293.32,c_003929,m_01481,d_002049,API,IN,,0
tx_2024-08_23,2024-08-03 02:26:10,13.24,c_007143,m_01729,d_001735,API,GB,,0
tx_2024-08_24,2024-08-11 17:59:01,23.97,c_004511,m_01446,d_002964,WEB,IN,APPROVED,0
tx_2024-08_25,2024-08-17 10:41:43,4.38,c_006525,m_01218,d_001975,WEB,,,0
tx_2024-08_26,2024-08-12 04:35:45,13.28,c_001745,m_01104,d_000131,WEB,,DECLINED,0
tx_2024-08_27,2024-08-15 13:42:04,52.82,c_001205,m_01778,d_003364,WEB,,DECLINED,1
tx_2024-08_28,2024-08-04 01:15:33,9.87,c_002717,m_00409,d_003020,MOBILE,US,,0
tx_2024-08_29,2024-08-12 01:15:43,39.64,c_007284,m_01335,d_001668,MOBILE,IN,APPROVED,0
tx_2024-08_30,2024-08-22 10:51:01,30.81,c_000157,m_01320,d_000113,API,GB,DECLINED,0
tx_2024-08_31,2024-08-25 07:14:51,32.47,c_007070,m_01259,d_000766,MOBILE,IN,APPROVED,0
tx_2024-08_32,2024-08-25 09:37:26,215.02,c_000270,m_00920,d_002598,MOBILE,GB,,0
tx_2024-08_33,2024-08-15 06:05:51,73.72,c_000329,m_01211,d_003024,API,,,0
tx_2024-08_34,2024-08-06 13:17:42,84.31,c_002167,m_01088,d_003316,API,US,APPROVED,0
tx_2024-08_35,2024-08-26 09:18:39,6.14,c_000792,m_00148,d_001412,MOBILE,IN,DECLINED,0
tx_2024-08_36,2024-08-18 10:47:10,6.65,c_001407,m_00993,d_003378,WEB,IN,APPROVED,0
tx_2024-08_37,2024-08-06 21:06:42,7.62,c_001981,m_01432,d_004840,API,IN,DECLINED,0
tx_2024-08_38,2024-08-14 21:00:15,14.49,c_005145,m_01735,d_001277,MOBILE,US,,0
tx_2024-08_39,2024-08-11 10:52:08,66.12,c_006380,m_00286,d_004432,MOBILE,,DECLINED,0
tx_2024-08_40,2024-08-28 16:56:44,103.21,c_005699,m_00036,d_000053,API,US,,0
tx_2024-08_41,2024-08-09 14:39:44,15.74,c_001144,m_00720,d_004988,WEB,US,DECLINED,0
tx_2024-08_42,2024-08-04 06:40:48,7.2,c_004890,m_00798,d_004444,MOBILE,GB,APPROVED,0
tx_2024-08_43,2024-08-09 03:16:51,17.26,c_002295,m_00951,d_000060,WEB,US,,0
tx_2024-08_44,2024-08-08 17:23:02,6.3,c_002852,m_01100,d_004453,MOBILE,GB,APPROVED,0
tx_2024-08_45,2024-08-20 05:39:33,11.12,c_003385,m_01655,d_002012,API,IN,DECLINED,0
tx_2024-08_46,2024-08-18 00:15:37,33.18,c_002350,m_00109,d_004724,API,,,0
tx_2024-08_47,2024-08-19 03:49:34,20.42,c_003815,m_01212,d_003369,API,US,,0
tx_2024-08_48,2024-08-26 21:55:20,153.81,c_006202,m_01185,d_002826,MOBILE,US,,0
tx_2024-08_49,2024-08-08 19:02:43,31.1,c_005740,m_01060,d_000513,WEB,,DECLINED,0
tx_2024-08_50,2024-08-25 11:55:59,47.46,c_000542,m_00678,d_002811,MOBILE,US,,0
tx_2024-08_51,2024-08-25 14:56:25,106.63,c_002097,m_00427,d_001239,MOBILE,GB,,0
tx_2024-08_52,2024-08-09 15:24:48,16.74,c_004053,m_00658,d_000558,API,GB,DECLINED,0
tx_2024-08_53,2024-08-24 07:30:55,16.78,c_000714,m_01296,d_001113,MOBILE,IN,APPROVED,0
tx_2024-08_54,2024-08-05 23:38:46,3.21,c_002806,m_00005,d_004638,WEB,US,,0
tx_2024-08_55,2024-08-29 05:58:57,18.25,c_007153,m_01439,d_003750,API,,APPROVED,0
tx_2024-08_56,2024-08-26 17:19:45,73.05,c_000873,m_00924,d_000051,WEB,IN,APPROVED,0
tx_2024-08_57,2024-08-27 01:49:16,37.81,c_000140,m_01556,d_004331,API,IN,,0
tx_2024-08_58,2024-08-02 12:32:12,15.54,c_007021,m_00439,d_003985,API,,APPROVED,0
tx_2024-08_59,2024-08-09 01:07:00,19.5,c_003906,m_00769,d_003219,WEB,IN,APPROVED,0
tx_2024-08_60,2024-08-25 20:55:15,66.72,c_002471,m_01117,d_003317,WEB,US,,0
tx_2024-08_61,2024-08-24 09:34:24,101.89,c_004797,m_00093,d_003385,MOBILE,US,DECLINED,0
tx_2024-08_62,2024-08-07 13:04:46,8.82,c_006237,m_01168,d_003259,WEB,IN,DECLINED,0
tx_2024-08_63,2024-08-24 17:12:32,26.57,c_005214,m_00598,d_002161,API,,,0
tx_2024-08_64,2024-08-27 21:27:29,65.74,c_007649,m_01173,d_003734,WEB,US,DECLINED,0
tx_2024-08_65,2024-08-18 13:35:54,14.63,c_002657,m_01001,d_001466,MOBILE,IN,,0
tx_2024-08_66,2024-08-01 14:45:33,13.92,c_000230,m_00138,d_004865,MOBILE,,APPROVED,0
tx_2024-08_67,2024-08-07 07:42:04,21.86,c_001304,m_00826,d_001840,WEB,IN,,0
tx_2024-08_68,2024-08-26 17:49:01,226.38,c_001726,m_01736,d_000755,MOBILE,US,APPROVED,0
tx_2024-08_69,2024-08-28 16:29:08,25.66,c_003749,m_00255,d_004739,WEB,IN,,0
tx_2024-08_70,2024-08-26 15:53:37,24.27,c_005923,m_01805,d_004396,API,US,APPROVED,0
tx_2024-08_71,2024-08-27 14:45:12,2.67,c_001097,m_00664,d_002872,WEB,US,APPROVED,0
tx_2024-08_72,2024-08-08 07:16:29,30.61,c_006258,m_01206,d_001693,WEB,GB,APPROVED,0
tx_2024-08_73,2024-08-15 20:23:23,7.79,c_000029,m_01009,d_002722,MOBILE,US,,0
tx_2024-08_74,2024-08-30 01:37:14,25.78,c_004794,m_00702,d_002571,WEB,,,0
tx_2024-08_75,2024-08-26 22:51:10,16.97,c_002841,m_01275,d_001774,MOBILE,US,APPROVED,0
tx_2024-08_76,2024-08-02 15:13:40,30.94,c_000531,m_00120,d_004177,MOBILE,GB,APPROVED,1
tx_2024-08_77,2024-08-30 10:53:15,13.71,c_003764,m_01560,d_002185,MOBILE,US,DECLINED,0
tx_2024-08_78,2024-08-04 12:40:40,17.38,c_006574,m_01701,d_003785,MOBILE,,APPROVED,0
tx_2024-08_79,2024-08-10 02:06:30,95.92,c_004611,m_00522,d_003262,API,GB,DECLINED,0
tx_2024-08_80,2024-08-09 13:53:12,53.79,c_000536,m_01397,d_004862,WEB,IN,APPROVED,0
tx_2024-08_81,2024-08-14 04:19:52,71.39,c_004996,m_00701,d_004967,MOBILE,,APPROVED,0
tx_2024-08_82,2024-08-13 00:12:42,4.71,c_005149,m_00428,d_002730,MOBILE,US,,0
tx_2024-08_83,2024-08-03 19:45:44,6.4,c_004254,m_00041,d_003548,MOBILE,IN,DECLINED,0
tx_2024-08_84,2024-08-12 09:31:48,6.77,c_004524,m_00555,d_003716,WEB,IN,APPROVED,0
tx_2024-08_85,2024-08-30 14:25:55,4.8,c_001562,m_00156,d_000178,MOBILE,US,,0
tx_2024-08_86,2024-08-05 22:55:38,105.61,c_004697,m_01761,d_002149,API,IN,APPROVED,0
tx_2024-08_87,2024-08-22 04:03:36,39.03,c_007654,m_01812,d_000231,WEB,,DECLINED,0
tx_2024-08_88,2024-08-02 11:29:28,52.01,c_001338,m_00046,d_004351,API,US,APPROVED,0
tx_2024-08_89,2024-08-05 22:24:20,61.7,c_006405,m_00530,d_000477,MOBILE,,,0
tx_2024-08_90,2024-08-27 07:22:35,5.34,c_006447,m_00235,d_002216,API,US,,1
tx_2024-08_91,2024-08-17 12:42:43,38.46,c_002864,m_01402,d_004002,WEB,GB,,0
tx_2024-08_92,2024-08-19 02:38:39,42.22,c_003049,m_00059,d_002917,WEB,IN,APPROVED,0
tx_2024-08_93,2024-08-25 15:08:18,59.62,c_000422,m_00524,d_003956,API,GB,,0
tx_2024-08_94,2024-08-29 08:06:23,28.41,c_005021,m_01180,d_000355,API,IN,,0
tx_2024-08_95,2024-08-30 04:18:20,142.59,c_004115,m_01576,d_000626,API,IN,DECLINED,0
tx_2024-08_96,2024-08-19 16:08:48,10.38,c_005722,m_01912,d_001124,MOBILE,IN,,0
tx_2024-08_97,2024-08-30 12:53:59,77.85,c_002150,m_00785,d_002680,API,US,,0
tx_2024-08_98,2024-08-21 11:32:38,16.49,c_007850,m_00843,d_000096,WEB,IN,DECLINED,0
tx_2024-08_99,2024-08-30 17:07:08,14.73,c_004388,m_01950,d_004428,MOBILE,IN,,0
tx_2024-08_100,2024-08-23 06:34:21,42.15,c_006257,m_01454,d_004964,API,GB,DECLINED,0
tx_2024-08_101,2024-08-28 06:01:18,48.58,c_004946,m_01706,d_000055,MOBILE,IN,APPROVED,0
tx_2024-08_102,2024-08-22 21:09:05,126.79,c_001384,m_01276,d_000547,MOBILE,,,0
tx_2024-08_103,2024-08-01 13:25:52,51.82,c_001189,m_00760,d_004612,MOBILE,GB,APPROVED,0
tx_2024-08_104,2024-08-04 02:47:27,22.71,c_007538,m_00478,d_000978,WEB,GB,DECLINED,0
tx_2024-08_105,2024-08-28 04:39:38,30.02,c_000778,m_00792,d_004579,WEB,US,,0
tx_2024-08_106,2024-08-16 15:56:43,15.85,c_007783,m_00659,d_000674,WEB,GB,,0
tx_2024-08_107,2024-08-17 21:32:54,72.93,c_000968,m_00508,d_004500,API,IN,APPROVED,0
tx_2024-08_108,2024-08-28 14:24:14,4.39,c_007566,m_00690,d_002091,API,IN,DECLINED,0
tx_2024-08_109,2024-08-17 21:12:01,14.18,c_001572,m_00903,d_003950,MOBILE,US,DECLINED,0
